[270,123,278,-33,264,-160]
[259,138,267,-33,253,-160]
[251,122,250,-97,211,-168]
[239,128,238,-97,199,-168]
[219,336,211,331,235,260]
[247,326,233,335,219,336]
[245,255,257,297,247,326]
[273,144,259,164,251,213]
[290,163,286,145,273,144]
[256,211,277,185,290,163]
[302,170,294,180,279,200]
[278,126,305,157,302,170]
[259,141,268,120,278,126]
[247,142,251,191,236,209]
[214,173,225,153,247,142]
[243,218,226,197,214,173]
[254,120,260,182,243,214]
[200,169,221,130,254,120]
[238,230,210,210,200,169]
[200,206,219,220,238,230]
[193,292,184,244,200,206]
[238,231,204,272,191,283]
[192,199,206,195,216,203]
[185,302,171,253,192,199]
[237,253,192,310,185,302]
[206,348,195,316,210,289]
[250,337,234,355,206,348]
[252,256,264,315,250,337]
[293,297,286,302,255,262]
[288,197,315,246,293,297]
[258,217,284,194,288,197]
[286,223,272,217,260,232]
[286,274,294,245,286,223]
[257,251,284,277,286,274]
[243,253,239,258,237,254]
[240,217,239,235,237,254]
[240,217,244,212,246,217]
[243,253,250,236,247,217]
[243,253,249,260,255,252]
[255,252,259,235,257,217]
[257,217,252,212,247,217]
[228,-37,206,-82,140,-120]
[258,22,252,6,242,-12]
[276,124,277,101,269,74]
[278,179,281,166,279,150]
[265,258,270,245,271,223]
[260,290,263,282,264,275]
[222,138,220,102,177,7]
[226,199,231,181,225,155]
[219,257,222,241,223,229]
[173,347,188,330,197,304]
[-103,-337,-101,-348,-96,-360]
[-23,-298,-70,-307,-103,-337]
[-119,-326,-125,-349,-111,-360]
[-14,-287,-90,-295,-119,-326]
[-19,-310,-41,-335,-64,-360]
[-14,-322,-30,-344,-44,-360]
[-34,-348,-34,-348,-35,-360]
[-14,-323,-19,-343,-21,-360]
[-6,-322,-5,-342,-3,-360]
[7,-339,7,-350,8,-360]
[-7,-320,10,-345,19,-360]
[-4,-301,19,-338,39,-360]
[80,-360,86,-351,88,-344]
[-3,-296,62,-310,88,-344]
[104,-340,101,-349,96,-360]
[-2,-287,65,-297,104,-340]
[-7,-319,-11,-321,-13,-322]
[-7,-319,-4,-304,-3,-285]
[-12,-284,-35,-300,-13,-322]
[-12,-284,-15,-300,-13,-322]
[-12,-284,-7,-283,-3,-285]
[-364,-329,-341,-350,-351,-360]
[-416,-312,-389,-328,-364,-329]
[-399,-105,-455,-180,-416,-312]
[-281,-200,-338,-112,-399,-105]
[-303,-120,-323,-120,-333,-138]
[-248,-210,-270,-150,-303,-120]
[-243,-306,-259,-321,-235,-360]
[-248,-210,-285,-273,-243,-306]
[-206,-242,-223,-217,-248,-210]
[-206,-242,-214,-312,-186,-360]
[-196,-242,-204,-312,-176,-360]
[-139,-224,-192,-239,-208,-241]
[173,-233,203,-290,157,-360]
[168,-235,188,-290,149,-360]
[394,-324,353,-333,332,-351]
[404,-128,460,-189,394,-324]
[297,-179,349,-128,404,-128]
[295,-139,313,-140,314,-163]
[225,-209,248,-157,295,-139]
[211,-346,224,-347,221,-360]
[226,-262,270,-280,211,-346]
[220,-206,236,-220,223,-264]
[171,-234,192,-210,220,-206]
[107,-220,140,-229,171,-234]
[-135,-170,-158,-187,-132,-236]
[-98,-172,-114,-158,-135,-170]
[-104,-189,-132,-190,-124,-243]
[-78,-217,-84,-191,-104,-189]
[-77,-249,-75,-260,-71,-267]
[-59,-199,-75,-204,-81,-233]
[-11,-248,-28,-200,-59,-199]
[23,-193,75,-220,27,-276]
[-11,-248,-5,-198,23,-193]
[90,-188,110,-200,82,-243]
[45,-209,60,-175,90,-188]
[108,-171,126,-193,98,-231]
[72,-169,93,-155,108,-171]
[47,85,41,80,34,73]
[50,91,43,89,38,85]
[50,91,44,90,36,94]
[83,107,86,103,88,97]
[52,91,89,107,142,78]
[40,73,46,86,52,91]
[40,73,75,92,141,74]
[40,111,31,107,22,101]
[69,112,45,112,21,109]
[12,209,24,190,82,190]
[82,190,36,197,12,209]
[167,326,170,322,167,318]
[105,316,136,318,167,318]
[105,316,88,293,72,265]
[109,326,135,327,167,326]
[109,326,123,346,131,360]
[101,328,111,347,121,360]
[98,320,80,297,66,271]
[31,317,66,322,98,320]
[26,325,65,328,101,328]
[-97,-167,-97,-175,-97,-189]
[77,-135,68,-178,72,-185]
[109,-132,96,-150,73,-157]
[109,-110,110,-135,113,-145]
[163,-65,140,-100,134,-142]
[227,9,197,-66,138,-119]
[171,-38,165,-44,156,-39]
[220,17,193,-13,171,-38]
[219,114,240,90,220,17]
[-280,360,-280,355,-300,348]
[-320,360,-315,355,-315,345]
[-343,360,-340,355,-335,350]
[-367,360,-360,320,-325,320]
[-300,350,-270,350,-284,302]
[-330,315,-320,280,-284,302]
[-358,275,-335,280,-325,305]
[-344,320,-365,300,-358,275]
[-38,-88,-50,-95,-72,-95]
[15,-82,0,-85,-20,-85]
[-383,135,-400,-100,-246,-145]
[-363,280,-460,-80,-246,-133]
[-383,135,-390,-60,-257,-133]
[-347,227,-380,-30,-250,-135]
[-267,-85,-240,-130,-250,-156]
[-227,-167,-210,-140,-215,-126]
[-178,-140,-170,-160,-150,-175]
[-235,-75,-210,-160,-170,-175]
[-235,-45,-200,-160,-10,-182]
[-13,-182,150,-120,170,3]
[158,0,180,50,197,120]
[123,-16,150,50,157,100]
[110,-17,150,50,157,100]
[105,-17,200,150,92,360]
[147,173,90,230,5,360]
[-261,-72,-340,100,-300,300]
[-260,-58,-290,10,-290,45]
[-247,-37,-267,20,-272,87]
[-228,-28,-300,190,-205,360]
[-205,-14,-225,120,-200,200]
[-197,-10,-195,130,-175,200]
[-160,13,-195,130,-162,290]
[-151,11,-160,115,-125,280]
[-130,11,-155,115,-125,280]
[-105,15,-115,120,-99,215]
[-32,26,-13,115,-12,159]
[-7,24,45,230,5,360]
[-42,22,-10,200,-28,277]


